identifier ,condition,income_level
1917,recommendation,LMI
,,
1920,recommendation,LMI
,,
1921,recommendation,LMI
,,
1929,control,LMI
,,
1934,control,LMI
,,
1939,control,LMI
,,
1942,control,LMI
,,
1944,control,LMI
,,
1947,control,LMI
,,
1949,control,LMI
,,
1950,control,LMI
,,
1952,control,LMI
,,
1955,control,LMI
,,
1957,control,LMI
,,
1960,control,LMI
,,
1961,control,LMI
,,
1963,control,LMI
,,
1966,control,LMI
,,
1971,control,LMI
,,
1980,control,LMI
,,
1989,NA,LMI
,,
1991,control,LMI
,,
1996,control,LMI
,,
1927,recommendation,LMI
,,
1928,recommendation,LMI
,,
1932,recommendation,LMI
,,
1935,recommendation,LMI
,,
1945,recommendation,LMI
,,
1954,recommendation,LMI
,,
1959,recommendation,LMI
,,
1962,recommendation,LMI
,,
1972,recommendation,LMI
,,
1978,recommendation,LMI
,,
1982,recommendation,LMI
,,
1983,recommendation,LMI
,,
1984,NA,LMI
,,
1988,recommendation,LMI
,,
1992,recommendation,LMI
,,
1999,recommendation,LMI
,,
2000,recommendation,LMI
,,
1996,control,LMI
,,
1927,recommendation,LMI
